#timestamp tx ty tz qx qy qz qw
1578862348.752637849 -0.849756552 0.004196127 0.063021424 0.551421343 0.722112853 -0.349843112 -0.228248388
1578862349.510489849 -0.701443371 -0.134883315 0.076783741 0.534903183 0.732433262 -0.342023362 -0.245845727
1578862350.367273999 -0.696153121 -0.143291005 0.082288673 0.554548988 0.723530316 -0.326911445 -0.249215188
1578862350.893663900 -0.785328841 -0.083151496 0.079886750 0.566347151 0.718982618 -0.319341056 -0.245634259
1578862351.617917250 -0.777261936 -0.065202902 0.090672576 0.566314510 0.711374457 -0.324526888 -0.260608053
1578862352.276837949 -0.720997712 -0.079507943 0.090519849 0.558384502 0.711803133 -0.316194702 -0.285594044
1578862353.198953650 -0.756210573 0.005711638 0.067614917 0.546449947 0.716896768 -0.281376449 -0.329057403
1578862353.792542899 -0.797621929 0.061603261 0.051626490 0.551951728 0.718686332 -0.272775687 -0.323160443
1578862354.352531949 -0.836350429 0.109104330 0.050702980 0.560807130 0.711438899 -0.298323102 -0.300588394
1578862355.241048599 -0.929209996 0.194230651 0.045775109 0.573597727 0.702126612 -0.307542483 -0.288827784
1578862355.868236849 -0.922670712 0.159733562 0.047925904 0.582061523 0.701508743 -0.300247825 -0.280964608
1578862356.329294999 -0.982771366 0.189292248 0.065157510 0.579388491 0.698726569 -0.309343654 -0.283543052
1578862356.954616299 -1.067635955 0.221765333 0.083807264 0.552665146 0.718753754 -0.312301925 -0.283587350
1578862357.647136399 -1.153275932 0.247208752 0.118419330 0.547534188 0.718487602 -0.327351178 -0.277169777
1578862358.272458150 -1.196426963 0.238531139 0.141430880 0.543605400 0.720212839 -0.326301217 -0.281627683
1578862358.733516299 -1.227734348 0.228425514 0.152237943 0.541816810 0.720813350 -0.325836140 -0.284065959
1578862359.392436749 -1.247424186 0.208763058 0.166953796 0.550301187 0.713062769 -0.341133190 -0.268957688
1578862360.017758699 -1.251474416 0.212424388 0.180705453 0.552305855 0.709955883 -0.345880658 -0.266997111
1578862360.809209999 -1.220659812 0.192540848 0.194847691 0.544962027 0.700340987 -0.364404097 -0.282397850
1578862361.171336899 -1.265838536 0.199203100 0.202227902 0.540598819 0.694325807 -0.376900191 -0.289155386
1578862361.632394849 -1.321182778 0.200762220 0.224164198 0.533890583 0.681433206 -0.402346957 -0.297870036
1578862361.731325849 -1.329208550 0.194587642 0.218727484 0.535339516 0.680670469 -0.404574741 -0.293970396
1578862362.455580249 -1.515440291 0.232319266 0.271817994 0.529190582 0.668491145 -0.428162986 -0.299588676
1578862362.653442000 -1.608548961 0.227909850 0.288383109 0.536674193 0.675309685 -0.418172248 -0.284727256
1578862363.377694749 -1.863329879 0.186606941 0.297202630 0.546160440 0.672196691 -0.418488513 -0.273363763
1578862363.476626149 -1.895162761 0.188920580 0.315477226 0.544485610 0.669989161 -0.422502608 -0.275937475
1578862363.937690250 -2.082053328 0.147629823 0.350093832 0.528716321 0.655398736 -0.450299650 -0.296886803
1578862364.531272849 -2.326260235 0.068103214 0.363428194 0.533989975 0.654016928 -0.449376383 -0.291851728
1578862364.729135900 -2.405971686 0.028232608 0.355870491 0.536481069 0.655501517 -0.443587272 -0.292807371
1578862365.255525999 -2.617067995 -0.041672184 0.358436878 0.541705864 0.666289090 -0.433218416 -0.273743328
