#timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1578862330174051300, 9.212283757809138288e-03, -6.953106791938238641e-03, -6.988541871462467317e-03, -1.737266145799782890e-01, 9.815338905899068100e-01, 1.014846688648390546e-02, 7.941847159115085486e-02, 1.631833904287971482e-02, -1.099705826065682998e-02, -7.192015923649006624e-03, -7.103315375098706239e-04, -7.360628677254226794e-03, -2.264593887231243410e-03, 3.121958027608016007e-04, 1.388562393590939603e-04, 2.683885720938710209e-03
1578862330239383299, 1.038290124943766143e-02, -7.586175638183410321e-03, -6.800289735236930526e-03, -1.726135072350109545e-01, 9.817661494536243927e-01, 1.189404714033644520e-02, 7.872951511127103397e-02, 1.568764716270194468e-02, -1.041243038768657932e-02, -5.372997507104754038e-03, -7.242394008317258863e-04, -7.103313480814038745e-03, -2.402379831498384528e-03, 5.674604057618452303e-04, 1.729104740661511314e-04, 4.398587395225670577e-03
1578862330272982999, 1.090213280946318239e-02, -7.925082780805739469e-03, -6.967687579937814103e-03, -1.721279359603732073e-01, 9.818772002353099992e-01, 1.276531919780481833e-02, 7.826994279970383994e-02, 1.658222502793040704e-02, -9.405504495202533788e-03, -5.727251138090007354e-03, -7.242394008317258863e-04, -7.103313480814038745e-03, -2.402379831498384528e-03, 5.674604057618452303e-04, 1.729104740661511314e-04, 4.398587395225670577e-03
1578862330338315249, 1.182135121603465622e-02, -8.422667802797654743e-03, -6.982148869524852815e-03, -1.713540379773273170e-01, 9.820591196026325909e-01, 1.445644177473504391e-02, 7.738663040461608855e-02, 1.461781690551459956e-02, -6.995849609288236348e-03, -3.971968163579640484e-03, -7.732052999826759688e-04, -7.028009987135059450e-03, -2.436005981389238739e-03, 6.002433711852977550e-04, 2.187008475428095110e-04, 4.754188800563388488e-03
1578862330371914450, 1.230643443781446675e-02, -8.639153796984105557e-03, -7.113463162082027912e-03, -1.710939524688774860e-01, 9.821330987631801124e-01, 1.535668352023817143e-02, 7.684795386781877180e-02, 1.571647078435118791e-02, -5.354425255120645426e-03, -4.803662218538496537e-03, -7.732052999826759688e-04, -7.028009987135059450e-03, -2.436005981389238739e-03, 6.002433711852977550e-04, 2.187008475428095110e-04, 4.754188800563388488e-03
1578862330403647149, 1.280091476466795747e-02, -8.787061045061807241e-03, -7.266955127774468379e-03, -1.709236891028202421e-01, 9.821924765660956513e-01, 1.621778613219435408e-02, 7.628902210287365204e-02, 1.691133561289145937e-02, -3.667526323841735925e-03, -5.621735842433797301e-03, -7.732052999826759688e-04, -7.028009987135059450e-03, -2.436005981389238739e-03, 6.002433711852977550e-04, 2.187008475428095110e-04, 4.754188800563388488e-03
1578862330470845649, 1.353515584634060014e-02, -8.769421532863981572e-03, -7.167420768121132539e-03, -1.707586012755239191e-01, 9.822675881728654135e-01, 1.795238569943535811e-02, 7.529672744009258123e-02, 1.491127909771552615e-02, -6.515980051620916518e-04, -4.451727745047638976e-03, -8.604740401902951719e-04, -7.016590904488221800e-03, -2.362426391272029035e-03, 7.965256963183677333e-04, 3.211402068429129470e-04, 5.880628975604323613e-03
1578862330536177849, 1.393645151438837465e-02, -8.586027419736826441e-03, -7.143999658365266653e-03, -1.707969092480040585e-01, 9.822902055616981043e-01, 1.956454944907632873e-02, 7.450903471217862339e-02, 1.415474515083641784e-02, 1.821644875687524314e-03, -7.856733204200855303e-03, -1.067561746008813175e-03, -7.140363948969268883e-03, -2.284938344899291665e-03, 8.360316663421975573e-04, 7.486702944057965076e-04, 6.022196295299557002e-03
1578862330569777499, 1.441014447712474743e-02, -8.499219750330209988e-03, -7.400461338733313639e-03, -1.707909528384912445e-01, 9.823271855221443749e-01, 2.040682428172434573e-02, 7.380591124969454464e-02, 1.565542593375248218e-02, 3.118700616221088771e-03, -8.260715493263431908e-03, -1.067561746008813175e-03, -7.140363948969268883e-03, -2.284938344899291665e-03, 8.360316663421975573e-04, 7.486702944057965076e-04, 6.022196295299557002e-03
1578862330635109299, 1.514430436376380633e-02, -8.236362806044948345e-03, -7.810447686619493776e-03, -1.708667947082317673e-01, 9.823919255433567477e-01, 2.187868607990447328e-02, 7.233233155904679468e-02, 1.454049971914887079e-02, 4.238477634405730249e-03, -6.564113556401199312e-03, -1.086807668660668465e-03, -7.157652392973882192e-03, -2.266874004614036469e-03, 8.586552536295879784e-04, 7.931514866321337552e-04, 6.127070605160282214e-03
1578862330700441749, 1.609850329108422282e-02, -7.892800179751170708e-03, -8.245826347880411480e-03, -1.709837703544324627e-01, 9.824463277926293037e-01, 2.345871293374762745e-02, 7.080573472291921966e-02, 1.618017660562899585e-02, 6.146238394294151197e-03, -7.109441717927954263e-03, -1.086807668660668465e-03, -7.157652392973882192e-03, -2.266874004614036469e-03, 8.586552536295879784e-04, 7.931514866321337552e-04, 6.127070605160282214e-03
1578862330734041249, 1.664697619618894092e-02, -7.682337921013289959e-03, -8.479471502244248504e-03, -1.710594338652552671e-01, 9.824740292590109503e-01, 2.423238279081171495e-02, 6.997316300941441858e-02, 1.717706531139717371e-02, 6.560704509338367157e-03, -7.087615628082804750e-03, -1.086807668660668465e-03, -7.157652392973882192e-03, -2.266874004614036469e-03, 8.586552536295879784e-04, 7.931514866321337552e-04, 6.127070605160282214e-03
1578862330799372899, 1.776034692621935099e-02, -7.286005911485943926e-03, -8.896220114655356212e-03, -1.711123234682257466e-01, 9.825436642226035300e-01, 2.560515076455719546e-02, 6.835859059144973326e-02, 1.924035401016566116e-02, 6.388644253291999968e-03, -6.775116101995793186e-03, -1.086807668660668465e-03, -7.157652392973882192e-03, -2.266874004614036469e-03, 8.586552536295879784e-04, 7.931514866321337552e-04, 6.127070605160282214e-03
1578862330866571700, 1.833604187635597821e-02, -7.125117773480699884e-03, -9.470186110762690915e-03, -1.709187763559504025e-01, 9.826617007320311847e-01, 2.649222754979976141e-02, 6.679008671102641681e-02, 1.902850554847154707e-02, 3.344766114072059409e-03, -6.938558497655114218e-03, -1.350922571853556105e-03, -7.293835912965925330e-03, -2.319877572121331784e-03, 9.658443572764880075e-04, 1.055843095569581431e-03, 5.620090128891547937e-03
