#timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1535224862815343750, 3.966919165099514421e-04, -3.454987522922372935e-06, -4.232868039126032474e-04, -5.855251284223461639e-02, -9.974091357468459762e-01, -2.271878283632425613e-04, 4.179195561684664190e-02, 9.883998625878328073e-05, -2.618361719633668775e-04, 1.877918985586752958e-03, 8.014274436071833858e-04, -3.510557639187762919e-04, -2.013216359350151975e-04, 2.633005243150739454e-03, -2.627096867288622201e-04, -3.128750730734575908e-02
1535224862881686199, -1.195355120294476492e-02, -4.621904741243660611e-05, -4.969921682106433593e-04, -5.856561122689712962e-02, -9.972235198116095045e-01, -1.875381799454553048e-05, 4.599261206388319950e-02, 1.356709753281846141e-02, 1.037001733076560461e-03, 7.995012559717663836e-03, 8.900220986771834736e-04, -2.774081609087856830e-04, -2.423487604462334129e-04, 1.532100062495436125e-03, -4.209415175273214875e-04, -1.758632935495786295e-02
1535224862946989850, 9.185063401899461882e-03, -3.495600682784555965e-04, -2.434815788856767077e-04, -5.859500512181801957e-02, -9.973346634607641592e-01, 1.210127450139017935e-03, 4.345952169470836818e-02, 2.560138940860970380e-02, 9.011838313499357864e-03, 4.946872804794884976e-03, 7.143983633478694648e-04, -3.051067338770310062e-04, -1.606268631803669492e-04, 2.177889582688206406e-03, -2.444998435856922045e-04, -2.403764132036693979e-02
1535224863013590600, -3.391047601011856760e-02, 4.357902726608879271e-03, 2.065661880316559552e-03, -5.858510939927694811e-02, -9.973848275356509419e-01, 1.103975932175191950e-03, 4.230924243585339195e-02, -3.416726208480150295e-02, 1.622350116841062700e-02, 1.623668262967106410e-02, 7.081297904824011575e-04, -2.919820834018879187e-04, -1.323185488759334759e-04, -4.164804819365222621e-04, -3.186629157396351011e-03, -5.268233283023789071e-03
1535224863078894249, -4.623336531636167840e-02, 5.329964784697541723e-03, 1.592681602294095979e-03, -5.854695082321453165e-02, -9.974188569514219616e-01, 8.138950646962618291e-04, 4.155978731714739943e-02, -5.091331637208210831e-02, 1.380111305805411907e-02, 4.267874112377062143e-03, 7.452710923416443548e-04, -1.700380430370827009e-04, -9.083172524963619647e-05, 2.584166086154803064e-03, -4.016167253831870411e-04, -3.206764962872552666e-02
1535224863145494999, -4.802254361486590906e-02, 9.795513352714274938e-03, -6.824669437758116436e-03, -5.856130589001147524e-02, -9.974236587974311119e-01, 2.172984219021197998e-05, 4.143208722012943490e-02, -5.179461891498078618e-02, 1.072987694813398382e-02, 1.049595088536936158e-02, 1.186547837698616130e-04, -2.352260442877225513e-04, -2.106788030631367731e-04, 5.794677746657146596e-05, -1.236601961922535969e-04, -1.899766546650783448e-03
1535224863210798099, -1.942759861491765577e-02, 1.347213613586943463e-02, -1.609535421426494528e-02, -5.847641998155798243e-02, -9.969480063657709668e-01, -1.513506633466066677e-03, 5.170000200314944783e-02, 8.317135568697353598e-02, -8.674474223864123146e-03, 3.072148423553979456e-03, 5.031622754281903781e-04, -3.888694993033605047e-04, -1.741122867475410790e-04, -1.750332432618817782e-04, 1.087955972353874760e-03, -1.696883599180673118e-03
1535224863277141099, -4.552315318968878921e-02, 3.932482940218045946e-03, -1.214214309089224619e-02, -5.854419826707676910e-02, -9.970894490179394998e-01, -1.115386174756337768e-03, 4.882584786819733902e-02, 3.620595386615728384e-02, -1.209016345089584596e-02, 6.228066927065437422e-03, 6.883763640970101206e-04, -3.117391093372628812e-04, -2.417821328652594679e-04, -2.399291541612547790e-04, 3.406742408957014016e-05, -4.475528156764689222e-03
1535224863342702550, 5.128058318976278993e-03, -2.884307952724908530e-03, 2.853404050893835944e-03, -5.849893956727509475e-02, -9.970684481862147619e-01, -1.942119328916734958e-03, 4.928094838322692045e-02, 9.211070518682439034e-02, -2.966802133210856215e-02, 1.632118954010581061e-02, 7.227191765930920681e-04, -2.757768796543233784e-04, -2.146931504724422990e-04, 1.861024192668400950e-03, 1.510283267113802716e-03, -1.125866240742424453e-02
1535224863441827699, -4.118021396893056102e-02, 9.687516342397646876e-03, -3.371770474030318532e-03, -5.843228014519760705e-02, -9.973399946582883757e-01, -2.825309180083478318e-03, 4.348127551113961653e-02, -1.289374080686218373e-02, -2.872817787952810023e-02, 2.094218116549058720e-02, 5.612206113569584084e-04, -3.060542431986216626e-04, -1.844729454000133253e-04, -2.067244351822340124e-03, 7.518380935479302600e-04, 3.708651829838358819e-04
1535224863507131299, -3.424214984488221231e-02, 1.134168826352170874e-02, -4.600201669747796228e-03, -5.846544245344310886e-02, -9.973111420688122175e-01, -9.756304048664660991e-04, 4.417381678594145544e-02, 8.641287812927798961e-03, -2.642243693327207994e-03, 1.233836252415633191e-03, 8.209949656912595090e-04, -2.642484046078977722e-04, -8.961151582610880266e-05, 5.554988558575627879e-03, -3.074058061864075667e-03, -2.700543466325481742e-02
1535224863573732099, -3.618323653319929084e-02, 1.862763211129425667e-02, -1.445465606404503466e-02, -5.846236654539175431e-02, -9.973345724404264478e-01, -1.853801906277365626e-03, 4.361726414479037001e-02, -1.411992498999289089e-03, -1.314424731876522902e-02, 5.371240521590726555e-03, 7.850484942173810996e-04, -3.027117528009219097e-04, -8.085843150474628582e-05, 5.042315841096330076e-04, 1.875336961360057984e-03, -1.222064835048158014e-02
1535224863639035750, -4.753653505156316833e-05, -1.217200422563648638e-04, 4.217003009625202095e-04, -5.849913842261631608e-02, -9.972999557738424503e-01, -1.477825509335373025e-03, 4.436738722381024930e-02, 3.843257097801910938e-02, -2.208086984727506558e-02, 1.177439675802920659e-02, 5.599225299906324593e-04, -2.949266963074999824e-04, -1.454148290075230976e-04, 2.199924771154624335e-03, -4.997082775875434126e-04, -1.940539157609214374e-02
1535224863705636499, -1.613474804192971434e-04, -3.122106282698523805e-03, 4.760309873819622783e-04, -5.854569545208585662e-02, -9.973600513507507870e-01, 2.510592358693856919e-04, 4.295656507356651610e-02, 1.956619584570699552e-02, 1.513155859739445403e-03, 2.619347605367642468e-02, 5.702612726275808506e-04, -2.732717073812767706e-04, -1.331486774276258015e-04, 4.782676123434445527e-04, 2.031961557998456782e-04, -1.682333600450299557e-03
