1532199352510414336,0.22485,-0.00113,-0.03348,0.54593,0.80800,-0.14313,-0.16913
1532199352610129920,0.25464,-0.01067,-0.04512,0.54078,0.81221,-0.14246,-0.16605
1532199352709870336,0.28644,-0.02211,-0.05796,0.53540,0.81650,-0.14131,-0.16342
1532199352809605632,0.32078,-0.03530,-0.07247,0.53012,0.82049,-0.14036,-0.16146
1532199352907313408,0.34436,-0.04575,-0.09314,0.52502,0.82418,-0.14066,-0.15903
1532199353007042048,0.37797,-0.06232,-0.10366,0.51803,0.82861,-0.14261,-0.15720
1532199353106744832,0.38000,-0.07398,-0.13126,0.50886,0.83430,-0.14494,-0.15493
1532199353206494720,0.38946,-0.07805,-0.16326,0.49934,0.84080,-0.14704,-0.14865
1532199353255297792,0.36003,-0.07250,-0.17717,0.49443,0.84444,-0.14758,-0.14382
1532199353306199808,0.34368,-0.07071,-0.18312,0.48912,0.84829,-0.14750,-0.13929
1532199353405913344,0.34337,-0.07489,-0.19995,0.47953,0.85475,-0.14714,-0.13348
1532199353503604736,0.32152,-0.07401,-0.22545,0.46947,0.86133,-0.14549,-0.12861
1532199353603311360,0.33266,-0.08103,-0.24588,0.45998,0.86693,-0.14570,-0.12499
1532199353703047936,0.32554,-0.08821,-0.28073,0.45085,0.87231,-0.14580,-0.12062
1532199353751897600,0.29871,-0.09448,-0.29734,0.44573,0.87556,-0.14486,-0.11717
1532199353851607552,0.26514,-0.07082,-0.31325,0.43601,0.88194,-0.14453,-0.10580
1532199353951323648,0.26604,-0.07293,-0.34606,0.42653,0.88737,-0.14341,-0.10045
1532199354051038720,0.27438,-0.06234,-0.36589,0.41736,0.89273,-0.14143,-0.09402
1532199354150782720,0.26684,-0.05895,-0.40645,0.40978,0.89693,-0.13951,-0.09018
1532199354250487552,0.26809,-0.03686,-0.41882,0.40144,0.90149,-0.13785,-0.08467
1532199354348189184,0.27304,-0.03129,-0.44403,0.39481,0.90481,-0.13687,-0.08187
1532199354447914240,0.27121,-0.02469,-0.47644,0.38980,0.90744,-0.13542,-0.07915
1532199354547633664,0.27394,-0.01893,-0.50483,0.38591,0.90946,-0.13433,-0.07688
1532199354647374848,0.28899,-0.02435,-0.53818,0.38208,0.91140,-0.13352,-0.07438
1532199354747101184,0.28634,-0.03000,-0.56286,0.37788,0.91347,-0.13274,-0.07182
1532199354846835200,0.28753,-0.03532,-0.58676,0.37403,0.91531,-0.13200,-0.06987
1532199354995424512,0.28919,-0.04359,-0.61450,0.37114,0.91678,-0.13095,-0.06794
1532199355192832000,0.28839,-0.05905,-0.63361,0.37174,0.91688,-0.12993,-0.06521
1532199355392337664,0.28106,-0.08541,-0.63165,0.38000,0.91362,-0.12900,-0.06530
1532199355492062464,0.27546,-0.10064,-0.62365,0.38662,0.91080,-0.12849,-0.06678
1532199355591768320,0.27467,-0.12247,-0.61203,0.39395,0.90754,-0.12792,-0.06935
1532199355691476992,0.26538,-0.13906,-0.60270,0.40227,0.90379,-0.12697,-0.07231
1532199355789139712,0.24777,-0.14960,-0.58280,0.41134,0.89963,-0.12558,-0.07552
1532199355888699904,0.23795,-0.16651,-0.57698,0.42115,0.89494,-0.12425,-0.07923
1532199355988309760,0.22444,-0.18164,-0.56311,0.43134,0.88987,-0.12281,-0.08368
1532199356088062208,0.21433,-0.20524,-0.55160,0.44145,0.88465,-0.12133,-0.08826
1532199356187754496,0.19756,-0.22055,-0.53281,0.45289,0.87872,-0.11937,-0.09215
1532199356287484416,0.19438,-0.23317,-0.51860,0.46468,0.87224,-0.11933,-0.09498
1532199356385184768,0.18508,-0.24690,-0.50443,0.47719,0.86531,-0.11907,-0.09668
1532199356484914944,0.17608,-0.26402,-0.48453,0.49099,0.85740,-0.11868,-0.09859
1532199356584685824,0.16752,-0.27951,-0.46559,0.50649,0.84817,-0.11824,-0.10048
1532199356684410880,0.15591,-0.29076,-0.44499,0.52287,0.83816,-0.11724,-0.10171
1532199356784129024,0.15556,-0.29756,-0.43059,0.53872,0.82806,-0.11602,-0.10309
1532199356883829760,0.14856,-0.30625,-0.40863,0.55275,0.81862,-0.11550,-0.10485
1532199356981506560,0.14740,-0.31014,-0.38994,0.56369,0.81087,-0.11531,-0.10694
