#timestamp 	 p_x 	 p_y 	 p_z 	 q_x 	 q_y 	 q_z 	 q_w
1578862329.317267149 -0.391596528 -0.20298650699999987 -0.05021542700000009 -0.5373158821436416 -0.7318572531956485 0.34185655009138893 0.24250918106483021
1578862329.614061849 -0.3823457631541316 -0.20067539605605322 -0.038109048847290855 -0.5381371418107277 -0.7306247884386953 0.3411178365023069 0.24542709048244565
1578862329.877257099 -0.37694466137102833 -0.19929661119003406 -0.02709463624940947 -0.5381935989478968 -0.7282361987428232 0.3409984293897924 0.2524673445137192
1578862330.174051300 -0.3741895224057237 -0.19889369661829814 -0.017174937080360525 -0.5382929000182578 -0.7267023021068729 0.33700192480293645 0.2618667993114459
1578862330.470845649 -0.3742243540478245 -0.20101434187714728 -0.008938160170336967 -0.5361220600824671 -0.7271693630708326 0.3327932757256143 0.27027114114515904
1578862330.734041249 -0.37695711347305694 -0.20559634638944413 -0.0015029231158252276 -0.5320966367044377 -0.7280240068091977 0.33127748911966803 0.2776858655385177
1578862331.030835449 -0.38617220338821734 -0.21247389006300743 0.007875249540125001 -0.5299721236636832 -0.7265719507682443 0.3318722425040091 0.284751757064981
1578862331.294030399 -0.39972679313738113 -0.21998896709848825 0.016902964341980964 -0.5305973853599555 -0.7230630779794927 0.3344256473990218 0.289492117809355
1578862331.557225799 -0.4165117595685057 -0.22826900411192375 0.025759056120587598 -0.5323639654079599 -0.7189782598717062 0.33761668422174107 0.2927009475592499
1578862331.820420749 -0.4352470154901513 -0.23768933061707198 0.034537639529713865 -0.5313642121991767 -0.7165675723253523 0.3414156532103865 0.2960039527246631
1578862332.117215099 -0.4589258556945299 -0.24824875349070252 0.04432841768603191 -0.52911398956996 -0.7137017097195287 0.34866730150656555 0.29849517323553404
1578862332.414009500 -0.48527844338826753 -0.2566708099310162 0.0539190815030713 -0.5289243658597017 -0.7088126647149429 0.357747567382772 0.2997337144388714
1578862332.677204799 -0.5082102395153634 -0.2608567416183831 0.061707085337958434 -0.530117783261467 -0.7027408213362252 0.367200285264556 0.3004903066643992
1578862332.973999299 -0.5323733442280625 -0.2609362511815365 0.06725805535973667 -0.531568352121823 -0.6982454014015614 0.37350927168039955 0.3006314528003345
1578862333.237194449 -0.5526265752214929 -0.2571760390231863 0.0691532828272088 -0.5336109928258106 -0.6963754944352392 0.3746780265191841 0.29989474074951444
1578862333.533988649 -0.5748273932367489 -0.24885720908552855 0.06842534136813337 -0.5352499821048314 -0.6970599045485724 0.37213918381681493 0.2985420807786858
1578862333.830783150 -0.5966502941667131 -0.23751959930755007 0.06716137258183599 -0.5366845446036809 -0.6984740919976895 0.3696886823967389 0.2956922733168827
1578862334.093978049 -0.6160031073504972 -0.22600901792540995 0.0666272256275605 -0.5374027188050506 -0.7005061514734674 0.3674508642897368 0.2923513500935078
1578862334.390772699 -0.6370644840051383 -0.2129752066369197 0.06753578814835975 -0.5373483659712487 -0.7033047549954351 0.36670700477717844 0.2866097134365657
1578862334.653973000 -0.6541024000857902 -0.20175731841138145 0.07124669806310105 -0.538853785848452 -0.7042070059184384 0.3694596873809149 0.27790039527243554
1578862334.917163050 -0.6680969713188873 -0.19179845699222753 0.07615320674642327 -0.5391000415457115 -0.7069068211239304 0.3705074011513255 0.2690318887157474
1578862335.180364299 -0.6790397186421231 -0.18434982859034976 0.08203634472842321 -0.5366283524827185 -0.7120039657676482 0.36889887716631 0.26266705630562215
1578862335.477152600 -0.6862073820676662 -0.17864906504487754 0.09014695228901086 -0.5351444125816915 -0.7169768972469713 0.36627314980720266 0.2557509848016482
