#timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1578862329910856399, 2.796441412425410000e-03, -3.916845557773690478e-03, -6.376916889245527742e-03, -1.795013705276151950e-01, 9.801072362181243447e-01, 5.544058767057267675e-03, 8.448861996721923617e-02, 8.459623073452092815e-03, -1.730695144392095652e-02, -1.427622545415055920e-02, -1.204264909720039562e-03, -2.207646212055829667e-03, -8.280071535810946623e-05, -6.036663383656155728e-04, -9.223396985810233979e-05, -3.069607455022713757e-03
1578862330009787849, 4.201770923416670023e-03, -6.553572995384671085e-03, -7.025326855520513947e-03, -1.762248143510286580e-01, 9.807760026123031327e-01, 5.720980792375433138e-03, 8.360931697813564489e-02, 1.102298329713949712e-02, -1.995316565917321094e-02, -1.381303875939024831e-02, -1.204264909720039562e-03, -2.207646212055829667e-03, -8.280071535810946623e-05, -6.036663383656155728e-04, -9.223396985810233979e-05, -3.069607455022713757e-03
1578862330075120149, 4.402539802871863195e-03, -6.863329868419310031e-03, -7.438237095515005948e-03, -1.758926595400750470e-01, 9.809263719195636666e-01, 8.526110758699963904e-03, 8.229538643187452041e-02, 1.071619143631321637e-02, -1.942709828731079696e-02, -1.395488024436099435e-02, -1.204264909720039562e-03, -2.207646212055829667e-03, -8.280071535810946623e-05, -6.036663383656155728e-04, -9.223396985810233979e-05, -3.069607455022713757e-03
1578862330174051300, 4.542753764229231182e-03, -7.265170710260290300e-03, -7.652818456271590422e-03, -1.754651984075683013e-01, 9.810801125677869328e-01, 1.196537170976459674e-02, 8.093581871840525854e-02, 1.364101473789037892e-03, -3.816311539792515990e-03, -2.198853736913062434e-03, -1.204302947639001751e-03, -2.207755400351305106e-03, -8.252119623577572154e-05, -6.029339848757126093e-04, -9.421580607199823065e-05, -3.063187682538210180e-03
1578862330239383299, 6.013007105643169460e-03, -1.007790137513226748e-02, -5.097634686418797863e-03, -1.722602831161927639e-01, 9.815721202829064129e-01, 1.383207115146946505e-02, 8.155514301201076399e-02, 1.521764613563084470e-02, -4.514530744372712706e-02, 3.167581184891418711e-02, -1.104940205569868855e-03, -2.430099187640140206e-03, -2.220180035092053649e-04, -1.545036967682399554e-04, -4.226657203285138299e-05, -1.153390178065441529e-03
1578862330272982999, 6.592104296625897128e-03, -1.139696027426223904e-02, -4.173915806668277578e-03, -1.716763460687774911e-01, 9.816823439634277948e-01, 1.489512620902747227e-02, 8.127203065114607661e-02, 1.701111664271003077e-02, -3.922157026999278928e-02, 2.625892162326812912e-02, -1.103067040882130690e-03, -2.455606907988008934e-03, -2.556544301907498463e-04, -7.902982061328688186e-05, -3.849386900200679323e-05, -7.883519143556322935e-04
1578862330338315249, 7.887188622724281700e-03, -1.296522594954566988e-02, -3.015604582521878678e-03, -1.707609305098978514e-01, 9.818755881274336961e-01, 1.683258007469964554e-02, 8.048414936388971486e-02, 1.728249515798411032e-02, -2.683519298895427341e-02, 1.891533696212846505e-02, -1.125338821749282802e-03, -2.547510045502337801e-03, -3.596575598059187861e-04, 1.803999962785524189e-04, -3.529940832625575088e-05, 6.749002152739671427e-04
1578862330371914450, 7.941558561129501842e-03, -1.036636730073362336e-02, -6.461149347612929993e-03, -1.712089508214804656e-01, 9.819247367977363972e-01, 1.570395833037233069e-02, 7.914980806080412767e-02, 3.591343605038133623e-03, -8.925594681483956308e-03, -2.729280937807777342e-03, -1.037671054633841714e-03, -3.687325474791541997e-03, -1.671579891041002778e-03, 2.116146094190160618e-03, 4.824193163909028335e-04, 1.150588501922076949e-02
1578862330403647149, 8.044709279180727729e-03, -1.054408651583109945e-02, -6.667431719994092697e-03, -1.709968897865053461e-01, 9.819947018607670941e-01, 1.645662667102869292e-02, 7.858529531238980792e-02, 3.211611927909824565e-03, -6.539597863906896832e-03, -4.429065783992121481e-03, -1.265497710614960514e-03, -3.730610593149947217e-03, -1.747218021369022255e-03, 1.941637892100093413e-03, 4.203063336497598495e-04, 1.064814433496423518e-02
1578862330470845649, 8.286668426960498712e-03, -1.072173412849437325e-02, -7.092353349017407882e-03, -1.708204862601122032e-01, 9.820908029061933275e-01, 1.816114602211723814e-02, 7.738339031142833779e-02, 3.685958271815020608e-03, -2.542991933571466748e-03, -5.925893375387169919e-03, -1.325475488769738445e-03, -3.793602648363637603e-03, -1.747853807054542720e-03, 1.868683693391778129e-03, 4.089328111347607388e-04, 1.028883030609305770e-02
