#timestamp tx ty tz qx qy qz qw
1578862342.295958099 -0.406313059 -0.260746620 -0.023429483 0.585686557 0.679945166 -0.347100837 -0.272335891
1578862342.592752749 -0.416285642 -0.258706685 -0.023928170 0.576579473 0.690296869 -0.350535011 -0.261096821
1578862343.053810599 -0.435092962 -0.254573161 -0.023196454 0.564806730 0.697984580 -0.360950463 -0.252042948
1578862343.613800150 -0.457310615 -0.239540125 -0.022060859 0.561953227 0.699775882 -0.355850722 -0.260561988
1578862343.647399849 -0.458821069 -0.237662892 -0.023140060 0.561996189 0.699871467 -0.355077134 -0.261266996
1578862344.074858200 -0.491726270 -0.214457133 -0.026622481 0.561920461 0.699298128 -0.341212903 -0.280715653
1578862344.668446949 -0.523876271 -0.171736921 -0.034420168 0.560303711 0.692285459 -0.339401003 -0.302667398
1578862345.359100949 -0.558424207 -0.128009870 -0.035039799 0.560839030 0.689150839 -0.347891371 -0.299169347
1578862345.655895349 -0.568205203 -0.110776158 -0.036806505 0.561220487 0.688182631 -0.352030926 -0.295821667
1578862346.215885049 -0.583067619 -0.087500649 -0.037130747 0.560205356 0.692453689 -0.347083307 -0.293617143
1578862346.676943399 -0.591204731 -0.076467286 -0.040193032 0.542069307 0.714800333 -0.328537870 -0.295439027
1578862347.072669349 -0.599679264 -0.074134118 -0.043444042 0.539808747 0.720853869 -0.327021946 -0.286413799
1578862347.533727199 -0.595184212 -0.082936593 -0.041339116 0.548501244 0.713589027 -0.350653572 -0.258803320
1578862347.929453299 -0.589205230 -0.090569449 -0.036268135 0.556233132 0.709751146 -0.359709395 -0.239723103
1578862348.356911849 -0.581892459 -0.112358499 -0.037042932 0.559392754 0.713796119 -0.353799238 -0.228912532
1578862348.752637849 -0.564064496 -0.126003840 -0.024974027 0.552850193 0.721170992 -0.349391649 -0.228461243
1578862349.411558449 -0.545487067 -0.148159468 -0.018708925 0.536895312 0.732131658 -0.341736841 -0.242780950
1578862349.971548000 -0.532707558 -0.157339605 -0.016951367 0.544255270 0.725578355 -0.334787149 -0.255420862
1578862350.596869699 -0.525521124 -0.159794633 -0.010734694 0.563051422 0.720404567 -0.323142432 -0.244068276
1578862350.860064899 -0.525847659 -0.157869511 -0.009552546 0.567411124 0.718780443 -0.319281497 -0.243841378
1578862351.321122649 -0.522737393 -0.154153608 -0.006233108 0.566221065 0.715839305 -0.319201797 -0.255103917
1578862351.815779899 -0.523840107 -0.144786210 -0.006180738 0.567571613 0.709178171 -0.322353755 -0.266489856
1578862352.310437449 -0.527120357 -0.130156586 -0.009248402 0.559229323 0.711136844 -0.314109515 -0.287892630
1578862352.935758649 -0.535022312 -0.102712127 -0.013129065 0.550262358 0.714772313 -0.289531576 -0.320130200
1578862353.594679850 -0.546576105 -0.075147744 -0.022931220 0.549532232 0.718108287 -0.271845578 -0.329294391
1578862353.990405849 -0.553378358 -0.069332227 -0.023507589 0.556865015 0.715987162 -0.279897587 -0.314517216
